Name,Type,Business Name,Connector,Database,Schema,Lineage Depth,Description,Owner users,Owner groups,Certification Status,Certification Message,Tags,Propagated Tags,Terms,Announcement Type,Announcement Title,Announcement Message,Last Refresh on Source,Usage,Popularity,Qualified Name,Source Asset GUID,Impacted Asset GUID,Atlan URL,Immediate upstream,Immediate downstream
SQL_SOURCE_ORG,Table,,powerbi,,,1,,,,,,,,,,,,,,NO USAGE,default/powerbi/1715713576/c2fdcbf8-d5b6-475d-ace7-9dd66cd57c78/adeee245-ecd2-4b68-8169-ac8a72709102/SQL_SOURCE_ORG,2123721c-4718-4a03-a2b1-015e2184a80a,6f6ec493-f079-4b09-afca-654e5c375e38,https://employbridge.atlan.com/assets/6f6ec493-f079-4b09-afca-654e5c375e38/overview?utm_source=impact_analysis_report,CANDIDATE_FUNNEL_POC (default/snowflake/1715075875/PROD_ENTERPRISE/OPERATIONS/CANDIDATE_FUNNEL_POC),New Candidate Funnel Dashboard (default/powerbi/1715713576/c2fdcbf8-d5b6-475d-ace7-9dd66cd57c78/adeee245-ecd2-4b68-8169-ac8a72709102)
Metric Selector,Table,,powerbi,,,1,,,,,,,,,,,,,,NO USAGE,default/powerbi/1715713576/c2fdcbf8-d5b6-475d-ace7-9dd66cd57c78/adeee245-ecd2-4b68-8169-ac8a72709102/Metric Selector,2123721c-4718-4a03-a2b1-015e2184a80a,2069963f-d74e-4a13-b504-1ae7e2d36337,https://employbridge.atlan.com/assets/2069963f-d74e-4a13-b504-1ae7e2d36337/overview?utm_source=impact_analysis_report,,New Candidate Funnel Dashboard (default/powerbi/1715713576/c2fdcbf8-d5b6-475d-ace7-9dd66cd57c78/adeee245-ecd2-4b68-8169-ac8a72709102)
Metrics_Definitions,Table,,powerbi,,,1,,,,,,,,,,,,,,NO USAGE,default/powerbi/1715713576/c2fdcbf8-d5b6-475d-ace7-9dd66cd57c78/adeee245-ecd2-4b68-8169-ac8a72709102/Metrics_Definitions,2123721c-4718-4a03-a2b1-015e2184a80a,d81b5509-f72b-4b8e-8e16-92b9f4fcfdd1,https://employbridge.atlan.com/assets/d81b5509-f72b-4b8e-8e16-92b9f4fcfdd1/overview?utm_source=impact_analysis_report,,New Candidate Funnel Dashboard (default/powerbi/1715713576/c2fdcbf8-d5b6-475d-ace7-9dd66cd57c78/adeee245-ecd2-4b68-8169-ac8a72709102)
VW_APOLLO_DASHBOARD,Table,,powerbi,,,1,,,,,,,,,,,,,,NO USAGE,default/powerbi/1715713576/c2fdcbf8-d5b6-475d-ace7-9dd66cd57c78/adeee245-ecd2-4b68-8169-ac8a72709102/VW_APOLLO_DASHBOARD,2123721c-4718-4a03-a2b1-015e2184a80a,ca4d808d-d0ef-49c4-9e32-a059b869b706,https://employbridge.atlan.com/assets/ca4d808d-d0ef-49c4-9e32-a059b869b706/overview?utm_source=impact_analysis_report,VW_APOLLO_DASHBOARD (default/snowflake/1715075875/PROD_ENTERPRISE/OPERATIONS/VW_APOLLO_DASHBOARD),New Candidate Funnel Dashboard (default/powerbi/1715713576/c2fdcbf8-d5b6-475d-ace7-9dd66cd57c78/adeee245-ecd2-4b68-8169-ac8a72709102)
VW_ACCOUNTINGUNIT_MSA,Table,,powerbi,,,1,,,,,,,,,,,,,,NO USAGE,default/powerbi/1715713576/c2fdcbf8-d5b6-475d-ace7-9dd66cd57c78/adeee245-ecd2-4b68-8169-ac8a72709102/VW_ACCOUNTINGUNIT_MSA,2123721c-4718-4a03-a2b1-015e2184a80a,851306dc-25ac-465d-9de8-021932e3b12d,https://employbridge.atlan.com/assets/851306dc-25ac-465d-9de8-021932e3b12d/overview?utm_source=impact_analysis_report,VW_ACCOUNTINGUNIT_MSA (default/snowflake/1715075875/DEV_SANDBOX_MERILYTICS/DATAWAREHOUSE/VW_ACCOUNTINGUNIT_MSA),New Candidate Funnel Dashboard (default/powerbi/1715713576/c2fdcbf8-d5b6-475d-ace7-9dd66cd57c78/adeee245-ecd2-4b68-8169-ac8a72709102)
Days to First Payment,Table,,powerbi,,,1,,,,,,,,,,,,,,NO USAGE,default/powerbi/1715713576/c2fdcbf8-d5b6-475d-ace7-9dd66cd57c78/adeee245-ecd2-4b68-8169-ac8a72709102/Days to First Payment,2123721c-4718-4a03-a2b1-015e2184a80a,49f3d223-3d2e-4c97-adc5-f5073f6e81bd,https://employbridge.atlan.com/assets/49f3d223-3d2e-4c97-adc5-f5073f6e81bd/overview?utm_source=impact_analysis_report,,New Candidate Funnel Dashboard (default/powerbi/1715713576/c2fdcbf8-d5b6-475d-ace7-9dd66cd57c78/adeee245-ecd2-4b68-8169-ac8a72709102)
Days to Payment from Assignment,Table,,powerbi,,,1,,,,,,,,,,,,,,NO USAGE,default/powerbi/1715713576/c2fdcbf8-d5b6-475d-ace7-9dd66cd57c78/adeee245-ecd2-4b68-8169-ac8a72709102/Days to Payment from Assignment,2123721c-4718-4a03-a2b1-015e2184a80a,1472241d-fbf0-4134-9e14-0a360751e308,https://employbridge.atlan.com/assets/1472241d-fbf0-4134-9e14-0a360751e308/overview?utm_source=impact_analysis_report,,New Candidate Funnel Dashboard (default/powerbi/1715713576/c2fdcbf8-d5b6-475d-ace7-9dd66cd57c78/adeee245-ecd2-4b68-8169-ac8a72709102)
CANDIDATE_FUNNEL_PRODRIVERS_LICENSE,Table,,powerbi,,,1,,,,,,,,,,,,,,NO USAGE,default/powerbi/1715713576/c2fdcbf8-d5b6-475d-ace7-9dd66cd57c78/adeee245-ecd2-4b68-8169-ac8a72709102/CANDIDATE_FUNNEL_PRODRIVERS_LICENSE,2123721c-4718-4a03-a2b1-015e2184a80a,803306a6-1d25-4a05-833c-251fd1b107c1,https://employbridge.atlan.com/assets/803306a6-1d25-4a05-833c-251fd1b107c1/overview?utm_source=impact_analysis_report,CANDIDATE_FUNNEL_PRODRIVERS_LICENSE (default/snowflake/1715075875/PROD_ENTERPRISE/OPERATIONS/CANDIDATE_FUNNEL_PRODRIVERS_LICENSE),New Candidate Funnel Dashboard (default/powerbi/1715713576/c2fdcbf8-d5b6-475d-ace7-9dd66cd57c78/adeee245-ecd2-4b68-8169-ac8a72709102)
ZIP_MSA_RAW,Table,,powerbi,,,1,,,,,,,,,,,,,,NO USAGE,default/powerbi/1715713576/c2fdcbf8-d5b6-475d-ace7-9dd66cd57c78/adeee245-ecd2-4b68-8169-ac8a72709102/ZIP_MSA_RAW,2123721c-4718-4a03-a2b1-015e2184a80a,ee1b49b5-e693-4429-b229-78abf044ff16,https://employbridge.atlan.com/assets/ee1b49b5-e693-4429-b229-78abf044ff16/overview?utm_source=impact_analysis_report,ZIP_MSA_RAW (default/snowflake/1715075875/PROD_EDW/ODS/ZIP_MSA_RAW),New Candidate Funnel Dashboard (default/powerbi/1715713576/c2fdcbf8-d5b6-475d-ace7-9dd66cd57c78/adeee245-ecd2-4b68-8169-ac8a72709102)
Parameter,Table,,powerbi,,,1,,,,,,,,,,,,,,NO USAGE,default/powerbi/1715713576/c2fdcbf8-d5b6-475d-ace7-9dd66cd57c78/adeee245-ecd2-4b68-8169-ac8a72709102/Parameter,2123721c-4718-4a03-a2b1-015e2184a80a,42105b47-225e-4b47-96fa-3f2c8c821bf1,https://employbridge.atlan.com/assets/42105b47-225e-4b47-96fa-3f2c8c821bf1/overview?utm_source=impact_analysis_report,,New Candidate Funnel Dashboard (default/powerbi/1715713576/c2fdcbf8-d5b6-475d-ace7-9dd66cd57c78/adeee245-ecd2-4b68-8169-ac8a72709102)
Month_Table,Table,,powerbi,,,1,,,,,,,,,,,,,,NO USAGE,default/powerbi/1715713576/c2fdcbf8-d5b6-475d-ace7-9dd66cd57c78/adeee245-ecd2-4b68-8169-ac8a72709102/Month_Table,2123721c-4718-4a03-a2b1-015e2184a80a,15a3dc0a-b87b-4373-ac6b-b303460ebc63,https://employbridge.atlan.com/assets/15a3dc0a-b87b-4373-ac6b-b303460ebc63/overview?utm_source=impact_analysis_report,,New Candidate Funnel Dashboard (default/powerbi/1715713576/c2fdcbf8-d5b6-475d-ace7-9dd66cd57c78/adeee245-ecd2-4b68-8169-ac8a72709102)
Time Hierarchy,Table,,powerbi,,,1,,,,,,,,,,,,,,NO USAGE,default/powerbi/1715713576/c2fdcbf8-d5b6-475d-ace7-9dd66cd57c78/adeee245-ecd2-4b68-8169-ac8a72709102/Time Hierarchy,2123721c-4718-4a03-a2b1-015e2184a80a,28300a80-3e15-4570-8c4a-ca6713b0da90,https://employbridge.atlan.com/assets/28300a80-3e15-4570-8c4a-ca6713b0da90/overview?utm_source=impact_analysis_report,,New Candidate Funnel Dashboard (default/powerbi/1715713576/c2fdcbf8-d5b6-475d-ace7-9dd66cd57c78/adeee245-ecd2-4b68-8169-ac8a72709102)
